po_id,intake_id,vendor_id,vendor_name,po_date,category,department,po_amount,status,cycle_time_days,error_flag,compliance_flag
PO-2001,INT-1042,V010,BuildRight Facilities,2024-01-26,Office Supplies,Operations,384949.84,Pending Approval,15,No,Compliant
PO-2002,INT-1183,V010,BuildRight Facilities,2024-01-16,Consulting,Marketing,27037.72,Closed,12,No,Non-Compliant
PO-2003,INT-1057,V005,CloudSystems Ltd,2024-02-27,Hardware,IT,137122.86,Cancelled,9,No,Non-Compliant
PO-2004,INT-1096,V006,EcoSupply Co,2024-01-29,Office Supplies,IT,27575.19,Closed,10,No,Non-Compliant
PO-2005,INT-1010,V001,TechNova Solutions,2024-02-06,Software,Finance,419748.97,Closed,19,Yes,Non-Compliant
PO-2006,INT-1005,V008,SwiftShip Partners,2024-02-02,Hardware,Legal,379661.74,Closed,16,Yes,Non-Compliant
PO-2007,INT-1061,V004,OfficeEdge Corp,2024-02-08,Logistics,Marketing,470172.75,Closed,13,Yes,Compliant
PO-2008,INT-1128,V002,GreenBridge Logistics,2024-01-03,Hardware,IT,210492.95,Pending Approval,14,Yes,Non-Compliant
PO-2009,INT-1062,V009,CapitalSoft,2024-02-23,Hardware,HR,359553.62,Open,7,No,Compliant
PO-2010,INT-1130,V003,PrimeConsult Inc,2024-03-05,Facilities,Legal,43721.36,On Hold,8,No,Compliant
PO-2011,INT-1192,V009,CapitalSoft,2024-01-03,Office Supplies,IT,436792.39,Open,13,Yes,Compliant
PO-2012,INT-1035,V006,EcoSupply Co,2024-01-06,Consulting,IT,121321.84,Closed,8,No,Compliant
PO-2013,INT-1162,V006,EcoSupply Co,2024-01-24,Consulting,HR,406940.92,Open,19,No,Compliant
PO-2014,INT-1052,V003,PrimeConsult Inc,2024-01-06,Facilities,IT,388319.01,Closed,11,Yes,Non-Compliant
PO-2015,INT-1193,V006,EcoSupply Co,2024-01-25,Logistics,Finance,199713.8,Pending Approval,14,Yes,Non-Compliant
PO-2016,INT-1103,V005,CloudSystems Ltd,2024-02-26,Software,Finance,433033.34,Closed,8,Yes,Compliant
PO-2017,INT-1022,V007,DataMind Analytics,2024-02-24,Hardware,Finance,248605.41,Closed,19,No,Compliant
PO-2018,INT-1021,V002,GreenBridge Logistics,2024-02-11,Logistics,Operations,497553.98,Open,11,Yes,Non-Compliant
PO-2019,INT-1115,V005,CloudSystems Ltd,2024-01-06,Office Supplies,Finance,301708.19,Closed,18,No,Compliant
PO-2020,INT-1094,V006,EcoSupply Co,2024-03-06,Office Supplies,HR,138003.12,On Hold,7,Yes,Compliant
PO-2021,INT-1018,V003,PrimeConsult Inc,2024-01-31,Hardware,IT,424485.99,Closed,14,Yes,Non-Compliant
PO-2022,INT-1096,V006,EcoSupply Co,2024-02-26,Office Supplies,Finance,474784.09,Open,9,No,Compliant
PO-2023,INT-1030,V002,GreenBridge Logistics,2024-01-04,Hardware,HR,265200.48,Closed,17,Yes,Non-Compliant
PO-2024,INT-1055,V003,PrimeConsult Inc,2024-02-06,Logistics,Operations,194106.7,Closed,11,Yes,Compliant
PO-2025,INT-1175,V008,SwiftShip Partners,2024-02-10,Software,Marketing,68728.48,Open,9,No,Non-Compliant
PO-2026,INT-1093,V006,EcoSupply Co,2024-03-06,Software,Legal,275448.58,Open,11,Yes,Non-Compliant
PO-2027,INT-1142,V004,OfficeEdge Corp,2024-02-17,Hardware,IT,396240.77,Open,14,Yes,Compliant
PO-2028,INT-1135,V008,SwiftShip Partners,2024-02-22,Hardware,HR,306362.23,Open,11,No,Compliant
