invoice_id,po_id,vendor_id,vendor_name,invoice_date,due_date,invoice_amount,payment_terms_days,actual_payment_days,status,discrepancy_flag,discrepancy_amount
INV-3001,PO-2282,V003,PrimeConsult Inc,2024-02-29,2024-05-29,201457.88,90,110,Paid,No,0
INV-3002,PO-2170,V002,GreenBridge Logistics,2024-03-03,2024-03-18,87550.47,15,17,Paid,No,0
INV-3003,PO-2249,V006,EcoSupply Co,2024-02-10,2024-03-11,38900.44,30,7,Paid,Yes,4510.58
INV-3004,PO-2162,V008,SwiftShip Partners,2024-02-16,2024-04-01,98839.65,45,75,Paid,No,0
INV-3005,PO-2185,V007,DataMind Analytics,2024-02-05,2024-03-21,51007.53,45,32,Disputed,No,0
INV-3006,PO-2250,V003,PrimeConsult Inc,2024-02-09,2024-03-25,204034.26,45,62,Pending,No,0
INV-3007,PO-2135,V009,CapitalSoft,2024-01-26,2024-04-25,33095.37,90,11,Disputed,Yes,4467.36
INV-3008,PO-2109,V002,GreenBridge Logistics,2024-02-21,2024-03-07,218363.9,15,33,Overdue,No,0
INV-3009,PO-2188,V001,TechNova Solutions,2024-01-20,2024-04-19,165702.4,90,115,Premature Payment,No,0
INV-3010,PO-2047,V007,DataMind Analytics,2024-03-06,2024-06-04,67380.34,90,94,Premature Payment,Yes,2377.04
INV-3011,PO-2264,V007,DataMind Analytics,2024-01-22,2024-02-06,109477.73,15,43,Paid,No,0
INV-3012,PO-2184,V003,PrimeConsult Inc,2024-03-02,2024-04-01,134143.02,30,37,Premature Payment,Yes,3706.01
INV-3013,PO-2022,V001,TechNova Solutions,2024-01-30,2024-03-30,66036.33,60,30,Paid,No,0
INV-3014,PO-2021,V004,OfficeEdge Corp,2024-01-06,2024-02-20,155606.63,45,50,Pending,No,0
INV-3015,PO-2193,V006,EcoSupply Co,2024-01-23,2024-04-22,31415.89,90,82,Disputed,No,0
INV-3016,PO-2177,V007,DataMind Analytics,2024-02-15,2024-03-01,109906.39,15,34,Paid,Yes,2630.22
INV-3017,PO-2040,V008,SwiftShip Partners,2024-01-30,2024-04-29,237900.91,90,1,Overdue,Yes,2255.5
INV-3018,PO-2118,V009,CapitalSoft,2024-01-16,2024-02-15,193221.36,30,10,Paid,No,0
INV-3019,PO-2083,V007,DataMind Analytics,2024-01-27,2024-02-11,243446.2,15,31,Overdue,No,0
INV-3020,PO-2021,V007,DataMind Analytics,2024-03-06,2024-03-21,7222.59,15,9,Overdue,Yes,760.15
INV-3021,PO-2289,V010,BuildRight Facilities,2024-02-21,2024-03-22,44486.1,30,17,Premature Payment,No,0
INV-3022,PO-2247,V001,TechNova Solutions,2024-03-01,2024-04-15,263613.44,45,11,Paid,No,0
INV-3023,PO-2262,V003,PrimeConsult Inc,2024-01-24,2024-03-24,66199.46,60,77,Paid,No,0
INV-3024,PO-2068,V005,CloudSystems Ltd,2024-02-19,2024-04-04,50732.65,45,59,Overdue,Yes,1226.09
INV-3025,PO-2050,V002,GreenBridge Logistics,2024-01-20,2024-04-19,5460.51,90,111,Premature Payment,No,0
INV-3026,PO-2061,V003,PrimeConsult Inc,2024-03-05,2024-06-03,143022.82,90,77,Paid,No,0
INV-3027,PO-2268,V002,GreenBridge Logistics,2024-02-25,2024-03-26,144931.16,30,58,Overdue,Yes,4495.15
